book_title,isbn,book_author,year_of_publication,publisher
Abschied von Sidonie,3257224281,Erich Hackl,1991,
Die Verwechslung,3453213025,Catriona Beck,2002,
Una tristeza antigua,8484330478,José Luis Sevillano,2001,Anaya -Spain
Los muertos siempre pierden los zapatos,8484332039,Raúl Argemí,2002,Anaya -Spain
Lettres à Yvonne von Wattenwyl,2864322102,Rainer Maria Rilke,1994,Editions Verdier
La Fiesta de Ralph,8478885218,Lisa Jewell,2000,
Dawnspell,0586207414,Katharine Kerr,1990,Voyager
Fifth business,0140260498,Robertson Davies,1996,"Penguin, 1996"
The Amazing Maurice and His Educated Rodents,0552546933,Terry Pratchett,2002,Corgi
Sansibar oder der letzte Grund,3257200552,Alfred Andersch,1970,
Der Medicus,3426029553,Noah Gordon,1990,
Feuer in Berlin,3499433443,Philip Kerr,1998,
Sämtliche Erzählungen,359621078X,Franz Kafka,1970,
Swift,074931012X,James Follett,1991-04-09,Arrow
Stupid white men,0141011904,Michael Moore,2002,
Die Brandmauer,3423206616,Henning Mankell,2004,
Die letzte Nacht der Titanic,3704320196,Walter Lord,1991,
E aí?,8530805461,Rubem A. Alves,1999,Papirus Editora
Weight Watchers 365 dagen lekker slank,9026935722,Means (Naaldwijk),1996,
Mentes criminosas e crimes assustadores,8500010452,John E. Douglas,2002,
A arte da guerra,8501023450,Sun Tzu,1993,
Os piores textos de Washington Olivetto,8589885291,Washington Olivetto,2004,
An Instance of the Fingerpost,009975181X,Iain Pears,1998,Vintage Books
Il manoscritto di Brodie,8496075850,Jorge Luis Borges,2002,
La prima sorsata di birra e altri piccoli piaceri della vita,8804464895,Philippe Delerm,1999,Mondadori
Il diario di Eva,880781112X,Mark Twain,1990,Feltrinelli Editore
L'ultimo teorema di Fermat,8817112917,Simon Singh,1999,
L'ospite inatteso,8876846565,Philippe Delerm,2001,
Queste oscure materie,8877825200,Philip Pullman,1996,
Paulette e Roger,8879285645,Daniel Picouly,2002,
Un amore dell'altro mondo,8806162160,Tommaso Pincio,2002-01-01,
My Dark Places,0099549611,James Ellroy,1997,Random House
The Silver Pigs,0099414732,Lindsey Davis,2000,Random House
Memorias de una vaca,8422655500,Bernardo Atxaga,1995,
"L'oeuvre de Dieu, la part du Diable",2020101653,John Irving,1988,
Le liseur,2070404587,Bernhard Schlink,1999,Editions Gallimard
Les vues animées,2742724613,Michel Tremblay,1999,Montréal : Leméac
Lord Arthur Savile's Crime,1853260665,Oscar Wilde,1993,
Ritratto in seppia,880701601X,Isabel Allende,2002,Feltrinelli Editore
Nessun luogo è lontano,8817134899,Richard Bach,1982-01,
Gatti e scimmie,8817860751,Arnaldo Colasanti,2001,
"Geh, wohin dein Herz dich trägt",3257060580,Susanna Tamaro,1995,
I Capture the Castle,0099845008,Dodie Smith,1949,
The Restaurant at the End of the Universe,0330262130,Douglas Adams,1980,Pan Macmillan Adult
Trainspotting,3442446325,Irvine Welsh,2000,
Aliss,9782922145441,Patrick Senécal,2000,Québec : Alire
Hannibal,0434009407,Thomas Harris,1999,William Heinemann
Tirant el Blanc,8478091351,Joanot Martorell,1990,
Die Erben des Medicus,3426193310,Noah Gordon,1997,
Oranges are Not the Only Fruit,0099935708,Jeanette Winterson,2001,Random House
The Photograph,0141011947,Penelope Lively,2004-01-29,Penguin UK
Immaculate Conceit,0340770015,Stella Duffy,2000,
Blues Legacies and Black Feminism,0349105227,Angela Yvonne Davis,1998,
The Jungle Book,0717283364,Walt Disney,1993,Grolier
Aladdin,0717283372,Walt Disney Company,1993,
I Love You Rhymes,0785316477,,1996-01-01,Publications International
Little boys & girls,0785316493,,1996,
Yummy Rhymes,0785316531,,1996-01-01,Publications International
The Barrytown Trilogy,0749397365,Roddy Doyle,1993,Random House
The Day the Animals Lost Their True Color,0970961502,Dan Rhema,2001-10-01,
A cidade dos deuses selvagens,9722906259,Isabel Allende,2002,
Uma mulher não chora,9725752228,Rita Ferro,1997,
No Logo,0006530400,Naomi Klein,2001-01-01,HarperCollins UK
Memoirs of a Geisha,0679781587,Arthur Golden,1997,Vintage
Il petalo cremisi e il bianco,8806164104,Michel Faber,2003,
Unless,0007137699,Carol Shields,2003,HarperCollins UK
The Twilight of the Elites,0957868251,David Flint,2003,
Un gioco da bambini. Una favola nera di agghiacciante perfezione,8880894536,James Graham Ballard,1999,
Good Omens,0552137030,Terry Pratchett,1991,Random House
Praise and Worship Study Bible,084233338X,Tyndale House Publishers,1997,Tyndale House Pub
Lies of silence,009977920X,Brian Moore,1991,Arrow
Moll Flanders,0140620257,Daniel Defoe,1994,Penguin Mass Market
Feet of Clay,0552142379,Terry Pratchett,1997,Random House
Eden,0552149209,Tim Smit,2002,Open University Press
Gardening in a small space,0752524593,Lance Hattatt,1999-03,
Et si c'était vrai ...,2221090810,Marc Levy,2000,
Die Feuerzangenbowle,3453042476,Heinrich Spoerl,1994,
Mattimeo,0099675404,Brian Jacques,1990,
The Emperor Mage,0590558021,Tamora Pierce,1994,
La mia vita su un piatto,8807701375,India Knight,2001,Feltrinelli Editore
A Passionate Man,0552994421,Joanna Trollope,1991,Corgi
The Men and the Girls,0552994928,Joanna Trollope,1993,Random House
A Fine Balance,0771060548,Rohinton Mistry,1997,Emblem Editions
Harry Potter and the Prisoner of Azkaban,0747546290,J. K. Rowling,1999,Bloomsbury Publishing
A Feast of Stories,0330344927,Clare Francis,1996,
Die unerträgliche Leichtigkeit des Seins,3937793003,Milan Kundera,2004,
O velho e o mar,8496200752,Ernest Hemingway,2003,
Poesias completas,9723706148,Alexandre O'Neill,2001,
L'ombra cinese,8845913104,Georges Simenon,1997,
Gerald's Game,0450586235,Stephen King,1993,
Hidden Lives,0140239820,Margaret Forster,1996,Penguin UK
The best mistake ever! and other stories,0394868161,Richard Scarry,1984-10-12,Random House Books for Young Readers
Taxi!,091988802X,Helen Potrebenko,1975,New Star books
Cam Jansen and the mystery of the television dog,0590461249,David A. Adler,1981-01,
101 Cool Ways to Make Money,1865156035,Nicolas Brasch,2002-10-01,
The Dragonslayer's Apprentice,1869433637,David Calder,1997,
A uzřela oslice anděla,8085794551,Nick Cave,1995,
Where She Has Gone,0771074549,Nino Ricci,1997,
Fiesta,0099908506,Ernest Hemingway,1994,Random House
